学名 withAuthor,和名,別名,ステータス,ID,発表年,,,,,,,,,,,,,,,,,,
Sphagnum fimbriatum Wilson  var. compactum Warnst.,キヒメミズゴケ,オオヒメミズゴケ,標準,17824,1881,,,,,,,,,,,,,,,,,,
Sphagnum subsecundum Nees ex Sturm  var. platyphyllum (Lindb. ex Braithw.) Cardot,ヒラハミズゴケ,ヒロハミズゴケ,標準,26777,1886,,,,,,,,,,,,,,,,,,
Sphagnum junghuhnianum Dozy et Molk.,ホソベリミズゴケ,コバノホソベリミズゴケ,広義,34617,1854,,,,,,,,,,,,,,,,,,
Polytrichum commune L. ex Hedw.,ウマスギゴケ,ナンブスギゴケ,標準,14399,1801,,,,,,,,,,,,,,,,,,
Atrichum undulatum (Hedw.) P.Beauv.,ナミガタタチゴケ,タチゴケ,標準,14405,1805,,,,,,,,,,,,,,,,,,
Oligotrichum aligerum Mitt.,イボタチゴケモドキ,ハグルマゴケ,標準,14412,1864,,,,,,,,,,,,,,,,,,
Pogonatum dentatum (Brid.) Brid.,ケスジスギゴケ,リシリスギゴケ,標準,14422,1827,,,,,,,,,,,,,,,,,,
Atrichum crispulum Schimp. ex Besch.,チヂレタチゴケ,ケイリンタチゴケ,標準,17350,1893,,,,,,,,,,,,,,,,,,
Atrichum rhystophyllum (Müll.Hal.) Paris,ヒメタチゴケ,コナミガタタチゴケ,標準,17351,1900,,,,,,,,,,,,,,,,,,
Pogonatum neesii (Müll.Hal.) Dozy,ヒメスギゴケ,ハヤチネスギゴケ,標準,17353,1856,,,,,,,,,,,,,,,,,,
Polytrichastrum alpinum (L. ex Hedw.) G.L.Sm.,ミヤマスギゴケ,エゾミヤマスギゴケ,標準,17354,1971,,,,,,,,,,,,,,,,,,
Polytrichastrum formosum (Hedw.) G.L.Sm.,オオスギゴケ,イブキスギゴケ,標準,17355,1971,,,,,,,,,,,,,,,,,,
Polytrichum norvegicum Hedw.,ダイセツスギゴケ,ノルウェースギゴケ (Z.Iwats. 2001),標準,21920,1801,,,,,,,,,,,,,,,,,,
Buxbaumia aphylla Hedw.,キセルゴケ,ウチワチョウジゴケ (Okamura 1911),標準,17349,1801,,,,,,,,,,,,,,,,,,
Diphyscium fulvifolium Mitt.,イクビゴケ,チャイロイクビゴケ,標準,14529,1891,,,,,,,,,,,,,,,,,,
Diphyscium foliosum (Hedw.) D.Mohr,ミヤマイクビゴケ,オレバイクビゴケ,標準,14530,1803,,,,,,,,,,,,,,,,,,
Encalypta streptocarpa Hedw.,セイタカヤリカツギ,シナノセンボンゴケ,標準,27145,0,,,,,,,,,,,,,,,,,,
Funaria serrata Brid.,ヤマヒョウタンゴケ,ノコギリヒョウタンゴケ (Suzuki 2016),標準,14636,1817,,,,,,,,,,,,,,,,,,
Physcomitrium eurystomum Sendtn.,ヒロクチゴケ,ツリガネゴケ,標準,14638,1841,,,,,,,,,,,,,,,,,,
Drummondia sinensis Müll.Hal.,オオミゴケ,オウミゴケ,標準,14690,1896,,,,,,,,,,,,,,,,,,
Racomitrium canescens (Hedw.) Brid.  subsp. latifolium (C.Jens.) Frisvoll,スナゴケ,ナガスナゴケ,標準,14469,1983,,,,,,,,,,,,,,,,,,
Grimmia pilifera P.Beauv.,ケギボウシゴケ,"ツクシギボウシゴケ, サガミギボウシゴケ, ツクシヒメスナゴケ",標準,14481,1805,,,,,,,,,,,,,,,,,,
Grimmia elongata Kaulf.,ヤリギボウシゴケ,"ミヤマスナゴケ, ミヤマギボウシゴケ",標準,17857,1816,,,,,,,,,,,,,,,,,,
Racomitrium aquaticum (Schrad.) Brid.,ナミカワスナゴケ,タカネスナゴケ,標準,17858,1819,,,,,,,,,,,,,,,,,,
Schistidium liliputanum (Müll.Hal.) Deguchi,コバノギボウシゴケ,ヒログチギボウシゴケ,標準,17862,1978,,,,,,,,,,,,,,,,,,
Schistidium strictum (Turner) Loeske ex O.Mårt.,ホソバギボウシゴケ,"アマギギボウシゴケ, キビノギボウシゴケ",標準,17864,1956,,,,,,,,,,,,,,,,,,
Racomitrium sudeticum (Funck) Bruch et Schimp.,ヒメスナゴケ,クロヒメスナゴケ,標準,22728,1845,,,,,,,,,,,,,,,,,,
Racomitrium laetum Cardot,トカチスナゴケ,キスナゴケ,標準,27225,1908,,,,,,,,,,,,,,,,,,
Racomitrium canescens (Hedw.) Brid.,スナゴケ,ナガスナゴケ,広義,34574,1819,,,,,,,,,,,,,,,,,,
Ptychomitrium linearifolium Reimers et Sakurai,ナガバチヂレゴケ,イシノウエノヒダゴケ,標準,14489,1931,,,,,,,,,,,,,,,,,,
Ptychomitrium gardneri Lesq.,シナチヂレゴケ,ツクシヒダゴケ,標準,27227,1868,,,,,,,,,,,,,,,,,,
"Brachydontium noguchii Z.Iwats., Tad.Suzuki et H.Kiguchi",スガダイラゴケ,ノグチゴケ (Iwatsuki 2004),標準,26927,2004,,,,,,,,,,,,,,,,,,
Brachydontium pseudodonnianum (Tad.Suzuki et Z.Iwats.) Tad.Suzuki et Z.Iwats.,ヤツガタケキヌシッポゴケ,ヤツガタケキヌシッポゴケモドキ (Suzuki 2016),標準,32949,2006,,,,,,,,,,,,,,,,,,
Brachydontium olympicum (E.G.Britton) T.T.McIntosh et J.R.Spence,ボンチゴケ,オリンピックゴケ,標準,33360,1987,,,,,,,,,,,,,,,,,,
Fissidens bryoides Hedw.,エゾホウオウゴケ,チョウセイホウオウゴケ (Suzuki 2016),標準,14587,1801,,,,,,,,,,,,,,,,,,
Fissidens tosaensis Broth.,チャボホウオウゴケ,ナンカイホウオウゴケ,標準,14588,1921,,,,,,,,,,,,,,,,,,
Fissidens bryoides Hedw.  var. lateralis (Broth.) Z.Iwats. et Tad.Suzuki,ツクシホウオウゴケ,"ソクセイホウオウゴケ (Suzuki 2016), ヤスダホウオウゴケ, チャボホウオウゴケモドキ",標準,14591,1982,,,,,,,,,,,,,,,,,,
Fissidens linearis Brid.  var. obscurirete (Broth. et Paris) I.G.Stone,ジングウホウオウゴケ,イボイボホウオウゴケ (Suzuki 2016),標準,14595,1991,,,,,,,,,,,,,,,,,,
Fissidens pallidinervis Mitt.,ガーベルホウオウゴケ,マルバツブツブホウオウゴケ (Suzuki 2016),標準,14596,1869,,,,,,,,,,,,,,,,,,
Fissidens adiantoides Hedw.,ヌリバシゴケ,"ヌリバシホウオウゴケ, オオホウオウゴケ",標準,17836,1801,,,,,,,,,,,,,,,,,,
Fissidens oblongifolius Hook.f. et Wilson,ホンコンホウオウゴケ,ナガバホウオウゴケ (Suzuki 2016),標準,26884,1844,,,,,,,,,,,,,,,,,,
Fissidens tenellus Hook.f. et Wilson  var. australiensis (A.Jaeger) J.E.Beever et I.G.Stone,オーストラリアイボホウオウゴケ,イボホウオウゴケ,標準,34447,1999,,,,,,,,,,,,,,,,,,
Fissidens coacervatus Brugg.-Nann.,ツクシホウオウゴケモドキ,セイタカソクセイホウオウゴケ (Suzuki 2016),標準,42865,1985,,,,,,,,,,,,,,,,,,
Fissidens inconstans Schimp.,ヒロハツクシホウオウゴケ,ヒロハソクセイホウオウゴケ (Suzuki 2016),標準,42868,1876,,,,,,,,,,,,,,,,,,
Fissidens wichurae Broth. et M.Fleisch.,ホソバジングウホウオウゴケ,ホソバイボイボホウオウゴケ (Suzuki 2016),標準,42880,1899,,,,,,,,,,,,,,,,,,
Fissidens pseudoclosteri Z.Iwats. et S.S.Kumar,キュウシュウホウオウゴケモドキ,クロスターホウオウゴケモドキ (Suzuki 2016),標準,42883,1992,,,,,,,,,,,,,,,,,,
Fissidens polyphyllus Wilson ex Bruch et Schimp.,オオバホウオウゴケ,タヨウホウオウゴケ (Suzuki 2016),標準,43716,1851,,,,,,,,,,,,,,,,,,
Ditrichum pallidum (Hedw.) Hampe,キンシゴケ,ナガエキンシゴケ,標準,14614,1867,,,,,,,,,,,,,,,,,,
Ditrichum heteromallum (Hedw.) E.Britton,コキンシゴケ,"キンシゴケモドキ, コキンシゴケモドキ",標準,14615,1913,,,,,,,,,,,,,,,,,,
Ditrichum macrorrhynchum Broth. ex Cardot,ヒメキンシゴケ,"ススキキンシゴケ, サツマキンシゴケ",標準,14617,1909,,,,,,,,,,,,,,,,,,
Garckea flexuosa (Griff.) Margad. et Nork.,ニセタマウケゴケ,シバゴケ,標準,27038,1973,,,,,,,,,,,,,,,,,,
Trematodon longicollis Michx.,ユミダイゴケ,クロナガダイゴケ,標準,14540,1803,,,,,,,,,,,,,,,,,,
Trematodon ambiguus (Hedw.) Hornsch.,キンシナガダイゴケ,"エゾナガダイゴケ, シマオバナゴケ, ハクサンナガダイゴケ, トワダナガダイゴケ",標準,14541,1819,,,,,,,,,,,,,,,,,,
Trematodon asanoi Tuzibe,チャボナガダイゴケ,アカマルゴケ,標準,34360,1947,,,,,,,,,,,,,,,,,,
Venturiella sinensis (Venturi ex Rabh.) Müll.Hal.,ヒナノハイゴケ,クチベニゴケ,標準,34418,1897,,,,,,,,,,,,,,,,,,
Oncophorus crispifolius (Mitt.) Lindb.,チヂミバコブゴケ,コブゴケ,標準,14563,1872,,,,,,,,,,,,,,,,,,
Oncophorus wahlenbergii Brid.,エゾノコブゴケ,ナガダイゴケ,標準,14564,1826,,,,,,,,,,,,,,,,,,
Oncophorus crispifolius (Mitt.) Lindb.  var. brevipes (Cardot) Iisiba,コエノコブゴケ,コブゴケ,標準,27060,1929,,,,,,,,,,,,,,,,,,
Arctoa fulvella (Dicks.) Bruch et Schimp.  var. longisetacea (Cardot) Horik.,ナガエキシッポゴケ,ナガエノキシッポゴケ,標準,33604,1951,,,,,,,,,,,,,,,,,,
Dicranella coarctata (Müll.Hal.) Bosch et Sande Lac.,ホウライオバナゴケ,"イソベノオバナゴケ, ホソミオバナゴケ",標準,14545,1858,,,,,,,,,,,,,,,,,,
Dichodontium pellucidum (Hedw.) Schimp.,シメリイワゴケ,"タマキネジヒゲゴケ, イボイワゴケ, イヨオウゴンゴケ, タチジムカデゴケ",標準,14561,1856,,,,,,,,,,,,,,,,,,
Holomitrium densifolium (Wilson) Wijk et Margad.,ヤマトマイマイゴケ,"マイマイゴケ, イボマイマイゴケ, タカサゴマイマイゴケ",標準,14565,1962,,,,,,,,,,,,,,,,,,
Dicranum drummondii Müll.Hal.,ナガシッポゴケ,デワシッポゴケ,標準,14573,1848,,,,,,,,,,,,,,,,,,
Dicranum viride (Sull. et Lesq.) Lindb.  var. hakkodense (Cardot) Takaki,タカネカモジゴケ,アオシッポゴケ,標準,14576,1972,,,,,,,,,,,,,,,,,,
Dicranoloma cylindrothecium (Mitt.) Sakurai,ミヤマシッポゴケ,スジシッポゴケ,標準,14580,1952,,,,,,,,,,,,,,,,,,
Pseudephemerum nitidum (Hedw.) Loeske,ニセカゲロウゴケ,マキバキンチャクゴケ,標準,26917,1933,,,,,,,,,,,,,,,,,,
Dicranella gonoi Cardot,イヨススキゴケ,トサノススキゴケ,標準,27044,1907,,,,,,,,,,,,,,,,,,
Dicranella varia (Hedw.) Schimp.,ナガスジススキゴケ,アカススキゴケ,標準,27046,1856,,,,,,,,,,,,,,,,,,
Dicranella heteromalla (Hedw.) Schimp.  var. curvipes Lindb.,ユガミススキゴケ,チョウセンススキゴケ,標準,33673,1872,,,,,,,,,,,,,,,,,,
