学名 withAuthor,和名,別名,ステータス,ID,発表年,,,,,,,,,,,,,,,,,,
Ribes mandshuricum (Maxim.) Kom.,オオモミジスグリ,マンシュウスグリ,標準,35755,1903,,,,,,,,,,,,,,,,,,
Ribes fasciculatum Siebold et Zucc.  var. chinense Maxim.,トウヤブサンザシ,シナヤブサンザシ,標準,35757,1874,,,,,,,,,,,,,,,,,,
Ribes komarovii Pojark.,ホザキヤブサンザシ,ホザキヤブスグリ,標準,35761,1936,,,,,,,,,,,,,,,,,,
Ribes pauciflorum Turcz. ex Pojark.,マンシュウクロスグリ,マンシュウクロスグリ,標準,35763,1936,,,,,,,,,,,,,,,,,,
Astilbe japonica (C.Morren et Decne.) A.Gray,アワモリショウマ,アワモリソウ,標準,417,1843,,,,,,,,,,,,,,,,,,
Chrysosplenium macrostemon Maxim.  var. macrostemon,イワボタン,ミヤマネコノメソウ,標準,716,1877,,,,,,,,,,,,,,,,,,
Micranthes fusca (Maxim.) S.Akiyama et H.Ohba  var. fusca ,エゾクロクモソウ,チシマクロクモソウ,標準,945,2012,,,,,,,,,,,,,,,,,,
Micranthes laciniata (Nakai et Takeda) S.Akiyama et H.Ohba,クモマユキノシタ,ヒメヤマハナソウ,標準,2201,2012,,,,,,,,,,,,,,,,,,
Micranthes fusca (Maxim.) S.Akiyama et H.Ohba  var. kikubuki (Ohwi) S.Akiyama et H.Ohba,クロクモソウ,キクブキ，イワブキ,標準,2240,2012,,,,,,,,,,,,,,,,,,
Micranthes laciniata (Nakai et Takeda) S.Akiyama et H.Ohba  f. takedana (Nakai) S.Akiyama et H.Ohba,ツルクモマグサ,ツルクモマユキノシタ,標準,4067,2012,,,,,,,,,,,,,,,,,,
Chrysosplenium flagelliferum F.Schmidt,ツルネコノメソウ,ヒメネコノメソウ,標準,4094,1868,,,,,,,,,,,,,,,,,,
Chrysosplenium grayanum Maxim.,ネコノメソウ,ミズネコノメソウ,標準,4642,1877,,,,,,,,,,,,,,,,,,
Saxifraga stolonifera Curtis,ユキノシタ,イワブキ，キジンソウ，イトバス,標準,6850,1774,,,,,,,,,,,,,,,,,,
Chrysosplenium echinus Maxim.,イワネコノメソウ,トゲミネコノメソウ (Hara 1939)，ホソバミズネコノメソウ,標準,8814,1877,,,,,,,,,,,,,,,,,,
Chrysosplenium maximowiczii Franch. et Sav.,ムカゴネコノメソウ,タマネコノメ,標準,8815,1878,,,,,,,,,,,,,,,,,,
Chrysosplenium kamtschaticum Fisch. ex Ser.  var. aomorense (Franch.) H.Hara,ミチノクネコノメソウ,ミチノクネコノメ,標準,8816,1939,,,,,,,,,,,,,,,,,,
Chrysosplenium fauriei Franch.,ホクリクネコノメ,エチゴネコノメ,標準,8817,1879,,,,,,,,,,,,,,,,,,
Chrysosplenium macrostemon Maxim.  var. shiobarense (Franch.) H.Hara,ニッコウネコノメ,ニッコウネコノメソウ,標準,8820,1938,,,,,,,,,,,,,,,,,,
Chrysosplenium ramosum Maxim.,マルバネコノメソウ,マルバネコノメ，クモノスネコノメ，オオマルバネコノメ,標準,8823,1859,,,,,,,,,,,,,,,,,,
Chrysosplenium rhabdospermum Maxim.,ツクシネコノメソウ,ツクシネコノメ,標準,8830,1877,,,,,,,,,,,,,,,,,,
Chrysosplenium pilosum Maxim.  var. sphaerospermum (Maxim.) H.Hara,コガネネコノメソウ,コガネネコノメ，オオコガネネコノメソウ,標準,8831,1957,,,,,,,,,,,,,,,,,,
Chrysosplenium tosaense (Makino) Makino ex Sutô ,タチネコノメソウ,トサネコノメ,標準,8834,1935,,,,,,,,,,,,,,,,,,
Chrysosplenium alternifolium L.  var. sibiricum Ser.,エゾネコノメソウ,"カラフトネコノメソウ,
オクヤマネコノメソウ",標準,8835,1930,,,,,,,,,,,,,,,,,,
Mitella nuda L.,マルバチャルメルソウ,チョウセンチャルメルソウ (Nakai 1914),標準,8837,1753,,,,,,,,,,,,,,,,,,
Mitella stylosa H.Boissieu  var. stylosa,タキミチャルメルソウ,"ハリベンチャルメルソウ (Hara in Nakai & Honda, Nova Fl. Jap. 3: 132 (1939), sub nom. f. integripetala (Makino) H.Hara.",標準,8842,1897,,,,,,,,,,,,,,,,,,
Mitella yoshinagae H.Hara,トサノチャルメルソウ,トサチャルメルソウ (Makino ex Hara 1938),標準,8848,1938,,,,,,,,,,,,,,,,,,
Astilbe platyphylla H.Boissieu,モミジバショウマ,サルルショウマ，ビロウショウマ，モミジショウマ,標準,8850,1897,,,,,,,,,,,,,,,,,,
Astilbe japonica (C.Morren et Decne.) A.Gray  f. rubeola H.Hara,ベニバナアワモリショウマ,ベニバナアワモリ (Hara 1939),標準,8852,1939,,,,,,,,,,,,,,,,,,
Astilbe chinensis (Maxim.) Maxim. ex Franch. et Sav.  var. paniculata Nakai,ヤチマタチダケサシ,ミヤマチダケサシ,標準,8857,1919,,,,,,,,,,,,,,,,,,
Astilbe formosa (Nakai) Nakai,ハナチダケサシ,ミヤマチダケサシ (Nakai 1928 non 1919),標準,8859,1922,,,,,,,,,,,,,,,,,,
Tanakaea radicans Franch. et Sav.,イワユキノシタ,ヤマユキノシタ,標準,8872,1878,,,,,,,,,,,,,,,,,,
Saxifraga acerifolia Wakab. et Satomi,エチゼンダイモンジソウ,カエデダイモンジソウ,標準,8886,1973,,,,,,,,,,,,,,,,,,
Heuchera sanguinea Engelm.,ツボサンゴ,サンゴバナ,標準,12515,1848,,,,,,,,,,,,,,,,,,
Bergenia stracheyi (Hook.f. et Thomson) Engl.,ヒマラヤユキノシタ,オオイワウチワ (Matsumura in litt.),標準,12516,1868,,,,,,,,,,,,,,,,,,
Bergenia crassifolia (L.) Fritsch,ナガバユキノシタ,アルタイユキノシタ，シベリアユキノシタ，チョウセンイワウチワ，コウライイワウチワ,標準,12517,1889,,,,,,,,,,,,,,,,,,
Astilbe chinensis (Maxim.) Maxim. ex Franch. et Sav.,オオチダケサシ,カラチダケサシ (Nakai 1912),標準,20066,1873,,,,,,,,,,,,,,,,,,
Saxifraga fortunei Hook.f.  var. alpina (Matsum. et Nakai) Nakai,ダイモンジソウ,ミヤマダイモンジソウ，トウホクダイモンジソウ，タケシマダイモンジソウ,標準,22291,1938,,,,,,,,,,,,,,,,,,
Saxifraga stolonifera Curtis  f. leuconeura (Makino) H.Hara,ニシキユキノシタ,シロミャクアオユキノシタ (Makino 1927),標準,22563,1939,,,,,,,,,,,,,,,,,,
Astilbe shikokiana Nakai  var. shikokiana,シコクショウマ,シコクトリアシショウマ,標準,24812,1926,,,,,,,,,,,,,,,,,,
Astilbe shikokiana Nakai  var. sikokumontana (Koidz.) H.Hara,ヒメシコクショウマ,ヒメアカショウマ,標準,24813,1939,,,,,,,,,,,,,,,,,,
Saxifraga exilis Stephan ex Sternb.,カラフトキヨシソウ,ネコノメザクラ,標準,26158,1822,,,,,,,,,,,,,,,,,,
Saxifraga hyperborea R.Br.,ヒメキヨシソウ,アライトキヨシソウ,標準,26159,1823,,,,,,,,,,,,,,,,,,
Mukdenia rossii (Oliv.) Koidz.,タンチョウソウ,"イワヤツデ (Y.Yabe in B. M. T. 24: (271) (1910), sub nom. Aceriphyllum rossi (Oliv.) Engl.)",標準,29139,1935,,,,,,,,,,,,,,,,,,
Astilbe longicarpa (Hayata) Hayata,タイワンアワモリ,シマアワモリ,標準,32233,1911,,,,,,,,,,,,,,,,,,
Micranthes fusca (Maxim.) S.Akiyama et H.Ohba,クロクモソウ,キクブキ，エゾクロクモソウ,広義,35594,2012,,,,,,,,,,,,,,,,,,
Mukdenia acanthifolia Nakai,マルバタンチョウソウ,ヒトツバタンチョウソウ,標準,35707,1941,,,,,,,,,,,,,,,,,,
Chrysosplenium pilosum Maxim.  var. pilosum,ケネコノメソウ,ケネコノメ (Kitagawa 1939),標準,35710,1859,,,,,,,,,,,,,,,,,,
Chrysosplenium hebetanum Ohwi,ダイブネコノメ,コネコノメ,標準,35713,1934,,,,,,,,,,,,,,,,,,
Chrysosplenium lectus-cochleae Kitag.,ヒカゲネコノメソウ,マンシュウネコノメソウ,標準,35714,1934,,,,,,,,,,,,,,,,,,
Micranthes manchuriensis (Engl.) Gornall et H.Ohba,シロバナクロクモソウ,チョウセンクロクモソウ,標準,35719,2012,,,,,,,,,,,,,,,,,,
Micranthes octopetala (Nakai) Y.I.Kim et Y.D.Kim,コウライユキノシタ,チョウセンユキノシタ,標準,35721,2015,,,,,,,,,,,,,,,,,,
Micranthes merkii (Fisch. ex Sternb.) Elven et D.F.Murray,チシマクモマグサ,ヒメチシマクモマグサ，シベリアクモマグサ,標準,41045,2008,,,,,,,,,,,,,,,,,,
Orostachys malacophylla (Pall.) Fisch.  var. aggregeata (Makino) H.Ohba,アオノイワレンゲ,コイワレンゲ,標準,71,1992,,,,,,,,,,,,,,,,,,
Rhodiola rosea L.,イワベンケイ,イワキリンソウ，ナガバノイワベンケイ，イワベンケイソウ,標準,714,1753,,,,,,,,,,,,,,,,,,
Sedum polytrichoides Hemsl.  subsp. polytrichoides,ウンゼンマンネングサ,イソマンネングサ，スギバマンネングサ，ツクシマンネングサ,標準,906,1887,,,,,,,,,,,,,,,,,,
Sedum acre L.,オウシュウマンネングサ,ヨーロッパタイトゴメ (Ohba 2001),標準,1091,1753,,,,,,,,,,,,,,,,,,
Sedum lineare Thunb.,オノマンネングサ,"マンネングサ,タカノツメ
",標準,1583,1784,,,,,,,,,,,,,,,,,,
Hylotelephium pluricaule (Kudô) H.Ohba,カラフトミセバヤ,"エゾミセバヤ，ゴケンミセバヤ，ヒメミセバヤ
",標準,1787,1977,,,,,,,,,,,,,,,,,,
Hylotelephium sordidum (Maxim.) H.Ohba,チチッパベンケイ,チチッパベンケイソウ,標準,1904,1977,,,,,,,,,,,,,,,,,,
Sedum alfredii Hance,シナマンネングサ,"コナシマンネングサ (Yamamoto 1926, quoad nom.)",標準,3057,1870,,,,,,,,,,,,,,,,,,
Sedum japonicum Siebold ex Miq.  subsp. oryzifolium (Makino) H.Ohba  var. oryzifolium (Makino) H.Ohba,タイトゴメ,タイワンタイトゴメ,標準,3580,2003,,,,,,,,,,,,,,,,,,
Orostachys japonica (Maxim.) A.Berger,ツメレンゲ,ヒロハツメレンゲ，ヒロハイワレンゲ,標準,4043,1930,,,,,,,,,,,,,,,,,,
Sedum drymarioides Hance,ナナツガママンネングサ,ハコベマンネングサ,標準,4444,1865,,,,,,,,,,,,,,,,,,
Sedum formosanum N.E.Br.,ハママンネングサ,"シママンネングサ,
タカサゴマンネングサ",標準,5013,1885,,,,,,,,,,,,,,,,,,
Sedum subtile Miq.,ヒメレンゲ,コマンネンソウ,標準,5386,1865,,,,,,,,,,,,,,,,,,
Hylotelephium viride (Makino) H.Ohba,アオベンケイ,アオベンケイソウ,標準,5531,1977,,,,,,,,,,,,,,,,,,
Sedum lineare Thunb.  f. variegatum Praeger,フクリンマンネングサ,ヒメササ,標準,5547,,,,,,,,,,,,,,,,,,,
Hylotelephium erythrostictum (Miq.) H.Ohba,ベンケイソウ,コベンケイソウ,標準,5694,1977,,,,,,,,,,,,,,,,,,
Rhodiola ishidae (Miyabe et Kudô) H.Hara,ホソバイワベンケイ,アオイワベンケイソウ,標準,5764,1937,,,,,,,,,,,,,,,,,,
Sedum makinoi Maxim.,マルバマンネングサ,"マメゴケ,
マルバノマンネングサ",標準,6022,1888,,,,,,,,,,,,,,,,,,
Sedum japonicum Siebold ex Miq.  subsp. japonicum  var. senanense (Makino) Makino,ミヤママンネングサ,ベニツヅキ,標準,6317,1905,,,,,,,,,,,,,,,,,,
Hylotelephium pallescens (Freyn) H.Ohba,ムラサキベンケイソウ,セイタカベンケイソウ (Kitagawa 1939),標準,6424,1977,,,,,,,,,,,,,,,,,,
Sedum album L.,シロバナマンネングサ,"シロベンケイソウ, シロバナベンケイ",標準,11697,1753,,,,,,,,,,,,,,,,,,
Sedum dasyphyllum L.,ヒメホシビジン,ヒメボシタイトゴメ (Uyemura et al. 2010),標準,11698,1753,,,,,,,,,,,,,,,,,,
Echevaria gibbiflora DC.,タカサキレンゲ,カントリス,標準,11706,1828,,,,,,,,,,,,,,,,,,
Sempervivum arachnoideum L.,クモノスバンダイソウ,マキギヌ，クモノスソウ,標準,11713,1753,,,,,,,,,,,,,,,,,,
Sedum tricarpum Makino  f. viride Hatus.,アオタカネマンネングサ,アオミヤママンネングサ (Hatusima 1987),標準,18187,1987,,,,,,,,,,,,,,,,,,
Orostachys malacophylla (Pall.) Fisch.  var. malacophylla,ゲンカイイワレンゲ,シベリヤイワレンゲ (Kitagawa 1939),標準,19668,1808,,,,,,,,,,,,,,,,,,
Kalanchoe spathulata DC.,リュウキュウベンケイ,ヘラバトウロウソウ，リュウキュウベンケイソウ，コウトウベンケイ,標準,22550,1829,,,,,,,,,,,,,,,,,,
Phedimus aizoon (L.) 't Hart  var. aizoon,ホソバノキリンソウ,"ナガバノキリンソウ,
ミヤマキリンソウ, ヤマキリンソウ",標準,26722,1995,,,,,,,,,,,,,,,,,,
Phedimus kamtschaticus (Fisch.) 't Hart,エゾノキリンソウ,エゾキリンソウ,標準,28842,1995,,,,,,,,,,,,,,,,,,
Kalanchoe pinnata (L.f.) Pers.,トウロウソウ,セイロンベンケイ,標準,30852,1805,,,,,,,,,,,,,,,,,,
Sedum erythrospermum Hayata,アカダママンネングサ,アリサンマンネングサ,標準,35660,1913,,,,,,,,,,,,,,,,,,
Sedum stellariifolium Franch.,ケマンネングサ,ハコベマンネングサ,標準,35666,1883,,,,,,,,,,,,,,,,,,
Phedimus middendorffianus (Maxim.) 't Hart,ヤナギバキリンソウ,ヒナキリンソウ,標準,35688,1995,,,,,,,,,,,,,,,,,,
Hylotelephium viviparum (Maxim.) H.Ohba,コモチベンケイソウ,コモチキリンソウ,標準,35698,1977,,,,,,,,,,,,,,,,,,
Penthorum chinense Pursh,タコノアシ,サワシオン,標準,3703,1816,,,,,,,,,,,,,,,,,,
Myriophyllum verticillatum L.,フサモ,キツネノオ,標準,5559,1753,,,,,,,,,,,,,,,,,,
Myriophyllum spicatum L.,ホザキノフサモ,"キンギョモ, トゲホザキノフサモ",標準,5739,1753,,,,,,,,,,,,,,,,,,
Myriophyllum aquaticum (Vell.) Veldc.,オオフサモ,スマフサモ,標準,16058,1973,,,,,,,,,,,,,,,,,,
Haloragis walkeri Ohwi,タネガシマアリノトウグサ,ナガバアリノトウグサ (Ohwi 1958),標準,18422,1958,,,,,,,,,,,,,,,,,,
Gonocarpus chinensis (Lour.) Orchard,ナガバアリノトウグサ,ホソバアリノトウグサ (Makino ex Sakaguchi 1924),標準,23814,1975,,,,,,,,,,,,,,,,,,
Vitis saccharifera Makino,アマヅル,オトコブドウ,標準,318,1898,,,,,,,,,,,,,,,,,,
Parthenocissus heterophylla (Blume) Merr.,アマミナツヅタ,アマミヅタ，ウラジロナツヅタ (Hatusima 1937),標準,330,1916,,,,,,,,,,,,,,,,,,
Vitis ficifolia Bunge,エビヅル,"ミツバブドウ (Nakai 1914), リュウキュウガネブ",標準,1073,1833,,,,,,,,,,,,,,,,,,
Vitis flexuosa Thunb.,サンカクヅル,ギョウジャノミズ，アツバサンカクヅル,標準,2942,1793,,,,,,,,,,,,,,,,,,
Parthenocissus tricuspidata (Siebold et Zucc.) Planch.,ツタ,ナツヅタ,標準,4018,1887,,,,,,,,,,,,,,,,,,
Vitis labrusca L.,アメリカブドウ,ラブルスカブドウ,標準,9213,1753,,,,,,,,,,,,,,,,,,
Cayratia yoshimurae (Makino) Honda,アカミノヤブカラシ,"アカミノヤブガラシ，リュウキュウヤブカラシ, アカミノブドウ",標準,9230,1939,,,,,,,,,,,,,,,,,,
Causonis japonica (Thunb.) Raf.,ヤブカラシ,ヤブガラシ、ビンボウカズラ,標準,9231,1838,,,,,,,,,,,,,,,,,,
Ampelopsis japonica (Thunb.) Makino,カガミグサ,ビャクレン,標準,12401,1903,,,,,,,,,,,,,,,,,,
Vitis vinifera L.,ヨーロッパブドウ,ブドウ,標準,12403,1753,,,,,,,,,,,,,,,,,,
Vitis shiragae Makino,シラガブドウ,サイシュウガネブ,標準,12409,1918,,,,,,,,,,,,,,,,,,
Tetrastigma formosanum (Hemsl.) Gagnep.,ミツバビンボウカズラ,ミツバビンボウヅル,標準,12411,1911,,,,,,,,,,,,,,,,,,
Ampelopsis glandulosa (Wall.) Momiy.  var. hancei (Planch.) Momiy.,テリハノブドウ,コバノテリハノブドウ (Hatusima 2004),標準,15965,1977,,,,,,,,,,,,,,,,,,
Leea guineensis G.Don,オオウドノキ,サンゴジュウドノキ,標準,15972,1831,,,,,,,,,,,,,,,,,,
Cayratia maritima B.R.Jackes,ハマヤブカラシ,ハマヤブガラシ,標準,37340,1987,,,,,,,,,,,,,,,,,,
Nekemias cantoniensis (Hook. et Arn.) J.Wen et Z.L.Nie,ウドカズラ,タイワンウドカズラ,広義,39418,2014,,,,,,,,,,,,,,,,,,
Leea indica (Burm.f.) Merr.,キダチブドウ,インドオオウドノキ (Corner & Watanabe 1969),標準,39436,1919,,,,,,,,,,,,,,,,,,
Causonis trifolia (L.) Mabb. et J.Wen,ミツバヤブカラシ,ミツバブドウ (Corner & Watanabe 1969)，アツバミツバヤブカラシ (Hassegawa 2008),標準,39437,2017,,,,,,,,,,,,,,,,,,
Vitis amurensis Rupr.,チョウセンヤマブドウ,マンシュウヤマブドウ，アムールブドウ,標準,46492,1857,,,,,,,,,,,,,,,,,,
Phaseolus lunatus L.,アオイマメ,ライマビーン，ライマメ，ライママメ,標準,30,1753,,,,,,,,,,,,,,,,,,
Archidendron lucidum (Benth.) I.C.Nielsen,アカハダノキ,タマザキゴウカン,標準,128,1979,,,,,,,,,,,,,,,,,,
Amorpha fruticosa L.,イタチハギ,クロバナエンジュ (Matsumura 1895),標準,477,1753,,,,,,,,,,,,,,,,,,
Maackia amurensis Rupr. et Maxim.,イヌエンジュ,カライヌエンジュ，トウイヌエンジュ，ハネミノイヌエンジュ，ハネミイヌエンジュ，ケハネミイヌエンジュ,標準,536,1856,,,,,,,,,,,,,,,,,,
Vicia sepium L.,イブキノエンドウ,カラスノエンドウ，コモンベッチ,標準,626,1753,,,,,,,,,,,,,,,,,,
Hedysarum vicioides Turcz.  subsp. japonicum (B.Fedtsch.) B.H.Choi et H.Ohashi  var. japonicum (B.Fedtsch.) B.H.Choi et H.Ohashi,イワオウギ,タテヤマオウギ,標準,664,1988,,,,,,,,,,,,,,,,,,
Phaseolus vulgaris L.,インゲンマメ,インゲン，サイトウ，ゴガツササゲ,標準,721,1753,,,,,,,,,,,,,,,,,,
Mucuna macrocarpa Wall.,ウジルカンダ,イルカンダ，クズモダマ，タイワンワニグチ，カマエカズラ,標準,757,1830,,,,,,,,,,,,,,,,,,
Astragalus japonicus H.Boissieu,エゾモメンヅル,チシマモメンヅル,標準,1043,1898,,,,,,,,,,,,,,,,,,
Aeschynomene americana L.,エダウチクサネム,アメリカクサネム,標準,1053,1753,,,,,,,,,,,,,,,,,,
Flemingia macrophylla (Willd.) Kuntze ex Merr.  var. philippinensis (Merr. et Rolfe) H.Ohashi,エノキマメ,ビロードエノキマメ,標準,1066,2001,,,,,,,,,,,,,,,,,,
Vicia venosa (Willd. ex Link) Maxim.  subsp. cuspidata (Maxim.) Y.Endo et H.Ohashi  var. cuspidata Maxim.,エビラフジ,オオバエビラフジ,標準,1077,1886,,,,,,,,,,,,,,,,,,
Pisum sativum L.,エンドウ,グリーンピース,標準,1085,1753,,,,,,,,,,,,,,,,,,
Rhynchosia acuminatifolia Makino,トキリマメ,オオバタンキリマメ,標準,1292,1920,,,,,,,,,,,,,,,,,,
Hylodesmum laxum (DC.) H.Ohashi & R.R.Mill,オオバヌスビトハギ,サイコクトキワヤブハギ,標準,1309,2000,,,,,,,,,,,,,,,,,,
Albizia kalkora (Roxb.) Prain,オオバネムノキ,チョウセンネムノキ,標準,1312,1897,,,,,,,,,,,,,,,,,,
Uraria lagopodioides (L.) Desv.,オオバフジボグサ,ヤエヤマフジボグサ,標準,1320,1825,,,,,,,,,,,,,,,,,,
Lespedeza daurica (Laxm.) Schindl.,オオバメドハギ,オオメドハギ，ガクハギ,標準,1333,1926,,,,,,,,,,,,,,,,,,
Vicia sativa L.  subsp. sativa,オオヤハズエンドウ,オオカラスノエンドウ，ザートヴィッケ,標準,1339,1753,,,,,,,,,,,,,,,,,,
Lespedeza x macrovirgata Kitag.,オオマキエハギ,"イヌマキエハギ (Hiyama in Yaso 31: 1 & 16, 1965)",標準,1365,1934,,,,,,,,,,,,,,,,,,
Vigna reflexopilosa Hayata,オオヤブツルアズキ,サカサハマササゲ,標準,1398,1911,,,,,,,,,,,,,,,,,,
Oxytropis revoluta Ledeb.,オカダゲンゲ,ヒダカゲンゲ,標準,1427,1843,,,,,,,,,,,,,,,,,,
Mimosa pudica L.,オジギソウ,ネムリグサ,標準,1499,1753,,,,,,,,,,,,,,,,,,
Erythrina crista-galli L.,カイコウズ,アメリカデイコ,標準,1628,1767,,,,,,,,,,,,,,,,,,
Mucuna membranacea Hayata,カショウクズマメ,ハネミノモダマ,標準,1683,1913,,,,,,,,,,,,,,,,,,
Hedysarum hedysaroides (L.) Schinz et Thell.,カラフトゲンゲ,オクチシマゲンゲ (Kudo 1924),標準,1778,1913,,,,,,,,,,,,,,,,,,
Lespedeza juncea (L.f.) Pers.,シベリアメドハギ,アオメドハギ (Nakai 1923)，イヌメドハギ，カラメドハギ (sensu Ohwi),標準,1796,1807,,,,,,,,,,,,,,,,,,
Lupinus luteus L.,キバナハウチワマメ,キバナルピナス，ノボリフジ,標準,1980,1753,,,,,,,,,,,,,,,,,,
Leucaena leucocephala (Lam.) de Wit,ギンゴウカン,ギンネム,標準,2087,1961,,,,,,,,,,,,,,,,,,
Pycnospora lutescens (Poir.) Schindl.,キンチャクマメ,ミツバタヌキマメ，キンチャクハギ,標準,2095,1926,,,,,,,,,,,,,,,,,,
Vicia cracca L.,クサフジ,ガーデンベッチ，ケクサフジ,標準,2142,1753,,,,,,,,,,,,,,,,,,
Sophora flavescens Aiton,クララ,ヒロハクララ,標準,2205,1789,,,,,,,,,,,,,,,,,,
Vigna mungo (L.) Hepper,ケツルアズキ,ブラックマッペ,標準,2371,1956,,,,,,,,,,,,,,,,,,
Astragalus sinicus L.,ゲンゲ,レンゲソウ，レンゲ,標準,2421,1767,,,,,,,,,,,,,,,,,,
Trifolium dubium Sibth.,コメツブツメクサ,コゴメツメクサ，キバナツメクサ,標準,2736,1794,,,,,,,,,,,,,,,,,,
Alysicarpus vaginalis (L.) DC.,ササハギ,マルバダケハギ,標準,2850,1825,,,,,,,,,,,,,,,,,,
Derris trifoliata Lour.,シイノキカズラ,ギョトウ,標準,2963,1790,,,,,,,,,,,,,,,,,,
Pterocarpus santalinus L.f.,サンダルシタン,コウキシタン，シタン,標準,3026,1782,,,,,,,,,,,,,,,,,,
Smithia ciliata Royle,シバネム,シバクサネム (Makino 1890),標準,3073,1834,,,,,,,,,,,,,,,,,,
Grona heterocarpa (L.) H.Ohashi et K.Ohashi,シバハギ,クサハギ，タチゲシバハギ,標準,3074,2018,,,,,,,,,,,,,,,,,,
Trifolium arvense L.,シャグマハギ,シャグマツメクサ,標準,3167,1753,,,,,,,,,,,,,,,,,,
Biancaea decapetala (Roth) O.Deg.,ジャケツイバラ,ウンジツ,標準,3169,1936,,,,,,,,,,,,,,,,,,
Trifolium repens L.,シロツメクサ,クローバー，オランダゲンゲ,標準,3276,1753,,,,,,,,,,,,,,,,,,
Melilotus officinalis (L.) Pall.  subsp. albus (Medik.) H.Ohashi et Tateishi,シロバナシナガワハギ,コゴメハギ，シロバナノシナガワハギ,標準,3296,1984,,,,,,,,,,,,,,,,,,
Lotus taitungensis S.S.Ying,シロバナミヤコグサ,シロバナノミヤコグサ，アマミエボシグサ (Tashiro 1893),標準,3317,1995,,,,,,,,,,,,,,,,,,
Zornia cantoniensis Mohlenbr.,スナジマメ,スナマメ,標準,3420,1961,,,,,,,,,,,,,,,,,,
Bauhinia variegata L.,フイリソシンカ,ソシンカ,標準,3534,1753,,,,,,,,,,,,,,,,,,
Vicia faba L.,ソラマメ,トウマメ，シガツマメ，ナツマメ,標準,3552,1753,,,,,,,,,,,,,,,,,,
Flemingia strobilifera (L.) R.Br.,ソロハギ,ソロフジ,標準,3554,1812,,,,,,,,,,,,,,,,,,
Indigofera tinctoria L.,タイワンコマツナギ,"ナンバンアイ, キアイ",標準,3598,1753,,,,,,,,,,,,,,,,,,
Apios taiwanianus Hosok.,タイワンホドイモ,タイワンホド,標準,3615,1932,,,,,,,,,,,,,,,,,,
Euchresta formosana (Hayata) Ohwi,タイワンミヤマトベラ,リュウキュウミヤマトベラ,標準,3617,1936,,,,,,,,,,,,,,,,,,
Intsia bijuga (Colebr.) Kuntze,タシロマメ,シロヨナ，シロマメ,標準,3707,1891,,,,,,,,,,,,,,,,,,
Trifolium hybridum L.,タチオランダゲンゲ,タチツメクサ,標準,3716,1753,,,,,,,,,,,,,,,,,,
Desmanthus pernambucanus (L.) Thell.,タチクサネム,ヒメギンネム (Yamazaki 1969),標準,3724,1912,,,,,,,,,,,,,,,,,,
Lespedeza buergeri Miq.  f. angustifolia Makino,タチゲキハギ,ホソバキハギ (Makino 1906),標準,3727,1906,,,,,,,,,,,,,,,,,,
Indigofera kirilowii Maxim. ex Palib.,チョウセンニワフジ,"コウライニワフジ (Y.Yabe in B. M. T. 24: (322), 1910)",標準,3927,1895,,,,,,,,,,,,,,,,,,
Lespedeza homoloba Nakai,ツクシハギ,ヤブハギ,標準,3991,1923,,,,,,,,,,,,,,,,,,
Vigna umbellata (Thunb.) Ohwi et H.Ohashi,ツルアズキ,カニメ，タケアズキ,標準,4054,1969,,,,,,,,,,,,,,,,,,
Vicia amoena Fisch. ex Ser.,ツルフジバカマ,ケナシツルフジバカマ,標準,4098,1825,,,,,,,,,,,,,,,,,,
Erythrina variegata L.,デイゴ,デイコ，ムニンデイゴ,標準,4115,1754,,,,,,,,,,,,,,,,,,
Robinia pseudoacacia L.  f. inermis (Mirb.) Rehder,トゲナシハリエンジュ,トゲナシニセアカシア,標準,4265,1949,,,,,,,,,,,,,,,,,,
Mucuna sempervirens Hemsl.,トビカズラ,アイラトビカズラ,標準,4296,1887,,,,,,,,,,,,,,,,,,
Canavalia rosea (Sw.) DC.,ナガミハマナタマメ,ナンカイハマナタマメ (Masamune & Fukuyama 1942),標準,4400,1825,,,,,,,,,,,,,,,,,,
Wisteriopsis japonica (Siebold et Zucc.) J.Compton et Schrire,ナツフジ,ドヨウフジ,標準,4434,2019,,,,,,,,,,,,,,,,,,
Dendrolobium umbellatum (L.) Benth.,ナハキハギ,オオキハギ,標準,4453,1852,,,,,,,,,,,,,,,,,,
Arachis hypogaea L.,ナンキンマメ,ラッカセイ，ピーナッツ,標準,4482,1753,,,,,,,,,,,,,,,,,,
Vicia unijuga A.Braun,ナンテンハギ,フタバハギ，アズキナ、タニワタシ,標準,4506,1853,,,,,,,,,,,,,,,,,,
Macroptilium lathyroides (L.) Urb.,ナンバンアカバナアズキ,タチナンバンアズキ,標準,4508,1928,,,,,,,,,,,,,,,,,,
Indigofera decora Lindl.,ニワフジ,イワフジ,標準,4596,1846,,,,,,,,,,,,,,,,,,
Albizia julibrissin Durazz.,ネムノキ,ネム,標準,4677,1772,,,,,,,,,,,,,,,,,,
Dunbaria villosa (Thunb.) Makino,ノアズキ,ヒメクズ,標準,4685,1902,,,,,,,,,,,,,,,,,,
Vicia amurensis Oett.,ノハラクサフジ,コノハラクサフジ,標準,4725,1906,,,,,,,,,,,,,,,,,,
Desmanthus illinoensis (Michx.) MacMill. ex B.L.Rob. et Fernald,ハイクサネム,アメリカゴウカン,標準,4754,1892,,,,,,,,,,,,,,,,,,
